	P	ection				
Tex Morgan .  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Commissioner of Agriculture				0		
Vote for  1				0		
Kim Olson  .  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Railroad Commissioner				0		
Vote for  1				0		
Roman McAllen .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Chris Spellmon.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Justice, Supreme Court, Place 2"				0		
Vote for  1				0		
Steven Kirkland  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Justice, Supreme Court, Place 4"				0		
Vote for  1				0		
R.K. Sandill  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Justice, Supreme Court, Place 6"				0		
Vote for  1				0		
Kathy Cheng.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Presiding Judge, Ct of Criminal Appeals"				0		
Vote for  1				0		
Maria T. (Terri) Jackson  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Judge, Court of Criminal Appeals, Pl 7"				0		
Vote for  1				0		
Ramona Franklin  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
0004 PRECINCT 404				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
"State Representative, District 88"				0		
Vote for  1				0		
Ezekiel Barron.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
				0		
0005 PRECINCT 305				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
REGISTERED VOTERS - TOTAL .  .  .  .  .  .	389			0		
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .	61	1	41	42	0	19
BALLOTS CAST - REPUBLICAN PARTY .  .  .  .	61	1	41	42	0	19
BALLOTS CAST - DEMOCRATIC PARTY .  .  .  .	0	0	0	0	0	0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .				0		
				0		
0005 PRECINCT 305				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
United States Senator				0		
Vote for  1				0		
Ted Cruz.  .  .  .  .  .  .  .  .  .  .  .	53	1	34	35	0	18
Geraldine Sam .  .  .  .  .  .  .  .  .  .	1	0	1	1	0	0
"Bruce Jacobson, Jr. .  .  .  .  .  .  .  ."	2	0	2	2	0	0
Stefano de Stefano  .  .  .  .  .  .  .  .	1	0	0	0	0	1
Mary Miller.  .  .  .  .  .  .  .  .  .  .	2	0	2	2	0	0
Total .  .  .  .  .  .  .  .  .  .	59	1	39	40	0	19
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	2	0	2	2	0	0
				0		
				0		
"US Representative, District 19"				0		
Vote for  1				0		
Jodey Arrington  .  .  .  .  .  .  .  .  .	46	0	33	33	0	13
Total .  .  .  .  .  .  .  .  .  .	46	0	33	33	0	13
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	15	1	8	9	0	6
				0		
				0		
Governor				0		
Vote for  1				0		
Greg Abbott.  .  .  .  .  .  .  .  .  .  .	49	1	31	32	0	17
SECEDE Kilgore.  .  .  .  .  .  .  .  .  .	1	0	1	1	0	0
Barbara Krueger  .  .  .  .  .  .  .  .  .	6	0	5	5	0	1
Total .  .  .  .  .  .  .  .  .  .	56	1	37	38	0	18
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	5	0	4	4	0	1
				0		
				0		
Lieutenant Governor				0		
Vote for  1				0		
Scott Milder  .  .  .  .  .  .  .  .  .  .	25	0	17	17	0	8
Dan Patrick.  .  .  .  .  .  .  .  .  .  .	31	1	19	20	0	11
Total .  .  .  .  .  .  .  .  .  .	56	1	36	37	0	19
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	5	0	5	5	0	0
				0		
				0		
Attorney General				0		
Vote for  1				0		
Ken Paxton .  .  .  .  .  .  .  .  .  .  .	49	1	33	34	0	15
Total .  .  .  .  .  .  .  .  .  .	49	1	33	34	0	15
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	12	0	8	8	0	4
				0		
				0		
Comptroller of Public Accounts				0		
Vote for  1				0		
Glenn Hegar.  .  .  .  .  .  .  .  .  .  .	46	1	31	32	0	14
Total .  .  .  .  .  .  .  .  .  .	46	1	31	32	0	14
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	15	0	10	10	0	5
				0		
				0		
0005 PRECINCT 305				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
Commissioner of the General Land Office				0		
Vote for  1				0		
Davey Edwards .  .  .  .  .  .  .  .  .  .	6	0	4	4	0	2
Jerry Patterson  .  .  .  .  .  .  .  .  .	11	0	6	6	0	5
Rick Range .  .  .  .  .  .  .  .  .  .  .	1	0	1	1	0	0
George P. Bush.  .  .  .  .  .  .  .  .  .	38	0	26	26	0	12
Total .  .  .  .  .  .  .  .  .  .	56	0	37	37	0	19
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	5	1	4	5	0	0
				0		
				0		
Commissioner of Agriculture				0		
Vote for  1				0		
Sid Miller .  .  .  .  .  .  .  .  .  .  .	26	0	15	15	0	11
Jim Hogan  .  .  .  .  .  .  .  .  .  .  .	13	0	11	11	0	2
Trey Blocker  .  .  .  .  .  .  .  .  .  .	14	1	8	9	0	5
Total .  .  .  .  .  .  .  .  .  .	53	1	34	35	0	18
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	8	0	7	7	0	1
				0		
				0		
Railroad Commissioner				0		
Vote for  1				0		
Weston Martinez  .  .  .  .  .  .  .  .  .	27	0	19	19	0	8
Christi Craddick .  .  .  .  .  .  .  .  .	26	1	16	17	0	9
Total .  .  .  .  .  .  .  .  .  .	53	1	35	36	0	17
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	8	0	6	6	0	2
				0		
				0		
"Justice, Supreme Court, Place 2"				0		
Vote for  1				0		
Jimmy Blacklock  .  .  .  .  .  .  .  .  .	42	0	28	28	0	14
Total .  .  .  .  .  .  .  .  .  .	42	0	28	28	0	14
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	19	1	13	14	0	5
				0		
				0		
"Justice, Supreme Court, Place 4"				0		
Vote for  1				0		
John Devine.  .  .  .  .  .  .  .  .  .  .	43	0	29	29	0	14
Total .  .  .  .  .  .  .  .  .  .	43	0	29	29	0	14
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	18	1	12	13	0	5
				0		
				0		
"Justice, Supreme Court, Place 6"				0		
Vote for  1				0		
Jeff Brown .  .  .  .  .  .  .  .  .  .  .	40	0	27	27	0	13
Total .  .  .  .  .  .  .  .  .  .	40	0	27	27	0	13
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	21	1	14	15	0	6
				0		
0005 PRECINCT 305				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
"Presiding Judge, Ct of Criminal Appeals"				0		
Vote for  1				0		
David Bridges .  .  .  .  .  .  .  .  .  .	32	0	23	23	0	9
Sharon Keller .  .  .  .  .  .  .  .  .  .	18	0	11	11	0	7
Total .  .  .  .  .  .  .  .  .  .	50	0	34	34	0	16
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	11	1	7	8	0	3
				0		
				0		
"Judge, Court of Criminal Appeals, Pl 7"				0		
Vote for  1				0		
Barbara Parker Hervey  .  .  .  .  .  .  .	42	0	29	29	0	13
Total .  .  .  .  .  .  .  .  .  .	42	0	29	29	0	13
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	19	1	12	13	0	6
				0		
				0		
"Judge, Court of Criminal Appeals, Pl 8"				0		
Vote for  1				0		
Michelle Slaughter  .  .  .  .  .  .  .  .	19	0	14	14	0	5
Jay Brandon.  .  .  .  .  .  .  .  .  .  .	24	0	16	16	0	8
Dib Waldrip.  .  .  .  .  .  .  .  .  .  .	8	1	3	4	0	4
Total .  .  .  .  .  .  .  .  .  .	51	1	33	34	0	17
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	10	0	8	8	0	2
				0		
				0		
"State Senator, District 31"				0		
Vote for  1				0		
Victor Leal.  .  .  .  .  .  .  .  .  .  .	15	0	13	13	0	2
Mike Canon .  .  .  .  .  .  .  .  .  .  .	26	0	13	13	0	13
Kel Seliger.  .  .  .  .  .  .  .  .  .  .	13	1	10	11	0	2
Total .  .  .  .  .  .  .  .  .  .	54	1	36	37	0	17
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	7	0	5	5	0	2
				0		
				0		
"State Representative, District 88"				0		
Vote for  1				0		
Jason Huddleston .  .  .  .  .  .  .  .  .	24	0	17	17	0	7
Richard Beyea .  .  .  .  .  .  .  .  .  .	11	1	4	5	0	6
Ken King.  .  .  .  .  .  .  .  .  .  .  .	19	0	14	14	0	5
Total .  .  .  .  .  .  .  .  .  .	54	1	35	36	0	18
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	7	0	6	6	0	1
				0		
				0		
				0		
				0		
				0		
				0		
				0		
				0		
0005 PRECINCT 305				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
United States Senator				0		
Vote for  1				0		
Sema Hernandez.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Beto O'Rourke .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Edward Kimbrough .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"US Representative, District 19"				0		
Vote for  1				0		
Miguel Levario.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Governor				0		
Vote for  1				0		
"Cedric Davis, Sr..  .  .  .  .  .  .  .  ."	0	0	0	0	0	0
Lupe Valdez.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Jeffrey Payne .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Andrew White  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Joe Mumbach.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Grady Yarbrough  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Tom Wakely .  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Adrian Ocegueda  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
James Jolly Clark.  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Lieutenant Governor				0		
Vote for  1				0		
Mike Collier  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Michael Cooper.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Attorney General				0		
Vote for  1				0		
Justin Nelson .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Comptroller of Public Accounts				0		
Vote for  1				0		
Joi Chevalier .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Tim Mahoney.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
0005 PRECINCT 305				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
Commissioner of the General Land Office				0		
Vote for  1				0		
Miguel Suazo  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Tex Morgan .  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Commissioner of Agriculture				0		
Vote for  1				0		
Kim Olson  .  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Railroad Commissioner				0		
Vote for  1				0		
Roman McAllen .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Chris Spellmon.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Justice, Supreme Court, Place 2"				0		
Vote for  1				0		
Steven Kirkland  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Justice, Supreme Court, Place 4"				0		
Vote for  1				0		
R.K. Sandill  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Justice, Supreme Court, Place 6"				0		
Vote for  1				0		
Kathy Cheng.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Presiding Judge, Ct of Criminal Appeals"				0		
Vote for  1				0		
Maria T. (Terri) Jackson  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"Judge, Court of Criminal Appeals, Pl 7"				0		
Vote for  1				0		
Ramona Franklin  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
				0		
0005 PRECINCT 305				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
"State Representative, District 88"				0		
Vote for  1				0		
Ezekiel Barron.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
				0		
				0		
				0		
				0		
				0		
				0		
0006 PRECINCT 406				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
REGISTERED VOTERS - TOTAL .  .  .  .  .  .	543			0		
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .	105	6	72	78	0	27
BALLOTS CAST - REPUBLICAN PARTY .  .  .  .	105	6	72	78	0	27
BALLOTS CAST - DEMOCRATIC PARTY .  .  .  .	0	0	0	0	0	0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .				0		
				0		
				0		
0006 PRECINCT 406				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
United States Senator				0		
Vote for  1				0		
Ted Cruz.  .  .  .  .  .  .  .  .  .  .  .	71	5	46	51	0	20
Geraldine Sam .  .  .  .  .  .  .  .  .  .	3	0	3	3	0	0
"Bruce Jacobson, Jr. .  .  .  .  .  .  .  ."	4	1	2	3	0	1
Stefano de Stefano  .  .  .  .  .  .  .  .	5	0	2	2	0	3
Mary Miller.  .  .  .  .  .  .  .  .  .  .	5	0	4	4	0	1
Total .  .  .  .  .  .  .  .  .  .	88	6	57	63	0	25
Over Votes .  .  .  .  .  .  .  .  .  .	1	0	0	0	0	1
Under Votes .  .  .  .  .  .  .  .  .  .	16	0	15	15	0	1
				0		
				0		
"US Representative, District 19"				0		
Vote for  1				0		
Jodey Arrington  .  .  .  .  .  .  .  .  .	76	5	50	55	0	21
Total .  .  .  .  .  .  .  .  .  .	76	5	50	55	0	21
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	29	1	22	23	0	6
				0		
				0		
Governor				0		
Vote for  1				0		
Greg Abbott.  .  .  .  .  .  .  .  .  .  .	59	6	41	47	0	12
SECEDE Kilgore.  .  .  .  .  .  .  .  .  .	9	0	3	3	0	6
Barbara Krueger  .  .  .  .  .  .  .  .  .	16	0	11	11	0	5
Total .  .  .  .  .  .  .  .  .  .	84	6	55	61	0	23
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	21	0	17	17	0	4
				0		
				0		
Lieutenant Governor				0		
Vote for  1				0		
Scott Milder  .  .  .  .  .  .  .  .  .  .	41	0	32	32	0	9
Dan Patrick.  .  .  .  .  .  .  .  .  .  .	45	6	27	33	0	12
Total .  .  .  .  .  .  .  .  .  .	86	6	59	65	0	21
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	19	0	13	13	0	6
				0		
				0		
Attorney General				0		
Vote for  1				0		
Ken Paxton .  .  .  .  .  .  .  .  .  .  .	69	4	46	50	0	19
Total .  .  .  .  .  .  .  .  .  .	69	4	46	50	0	19
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	36	2	26	28	0	8
				0		
				0		
Comptroller of Public Accounts				0		
Vote for  1				0		
Glenn Hegar.  .  .  .  .  .  .  .  .  .  .	67	4	43	47	0	20
Total .  .  .  .  .  .  .  .  .  .	67	4	43	47	0	20
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	38	2	29	31	0	7
				0		
				0		
0006 PRECINCT 406				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
Commissioner of the General Land Office				0		
Vote for  1				0		
Davey Edwards .  .  .  .  .  .  .  .  .  .	7	0	3	3	0	4
Jerry Patterson  .  .  .  .  .  .  .  .  .	17	0	14	14	0	3
Rick Range .  .  .  .  .  .  .  .  .  .  .	4	0	2	2	0	2
George P. Bush.  .  .  .  .  .  .  .  .  .	53	4	34	38	0	15
Total .  .  .  .  .  .  .  .  .  .	81	4	53	57	0	24
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	24	2	19	21	0	3
				0		
				0		
Commissioner of Agriculture				0		
Vote for  1				0		
Sid Miller .  .  .  .  .  .  .  .  .  .  .	38	4	25	29	0	9
Jim Hogan  .  .  .  .  .  .  .  .  .  .  .	28	1	15	16	0	12
Trey Blocker  .  .  .  .  .  .  .  .  .  .	12	0	9	9	0	3
Total .  .  .  .  .  .  .  .  .  .	78	5	49	54	0	24
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	27	1	23	24	0	3
				0		
				0		
Railroad Commissioner				0		
Vote for  1				0		
Weston Martinez  .  .  .  .  .  .  .  .  .	35	2	26	28	0	7
Christi Craddick .  .  .  .  .  .  .  .  .	44	4	26	30	0	14
Total .  .  .  .  .  .  .  .  .  .	79	6	52	58	0	21
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	26	0	20	20	0	6
				0		
				0		
"Justice, Supreme Court, Place 2"				0		
Vote for  1				0		
Jimmy Blacklock  .  .  .  .  .  .  .  .  .	72	3	49	52	0	20
Total .  .  .  .  .  .  .  .  .  .	72	3	49	52	0	20
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	33	3	23	26	0	7
				0		
				0		
"Justice, Supreme Court, Place 4"				0		
Vote for  1				0		
John Devine.  .  .  .  .  .  .  .  .  .  .	70	3	47	50	0	20
Total .  .  .  .  .  .  .  .  .  .	70	3	47	50	0	20
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	35	3	25	28	0	7
				0		
				0		
"Justice, Supreme Court, Place 6"				0		
Vote for  1				0		
Jeff Brown .  .  .  .  .  .  .  .  .  .  .	71	3	48	51	0	20
Total .  .  .  .  .  .  .  .  .  .	71	3	48	51	0	20
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	34	3	24	27	0	7
				0		
				0		
0006 PRECINCT 406				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
"Presiding Judge, Ct of Criminal Appeals"				0		
Vote for  1				0		
David Bridges .  .  .  .  .  .  .  .  .  .	38	1	26	27	0	11
Sharon Keller .  .  .  .  .  .  .  .  .  .	36	1	26	27	0	9
Total .  .  .  .  .  .  .  .  .  .	74	2	52	54	0	20
Over Votes .  .  .  .  .  .  .  .  .  .	1	1	0	1	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	30	3	20	23	0	7
				0		
				0		
"Judge, Court of Criminal Appeals, Pl 7"				0		
Vote for  1				0		
Barbara Parker Hervey  .  .  .  .  .  .  .	70	3	49	52	0	18
Total .  .  .  .  .  .  .  .  .  .	70	3	49	52	0	18
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	35	3	23	26	0	9
				0		
				0		
"Judge, Court of Criminal Appeals, Pl 8"				0		
Vote for  1				0		
Michelle Slaughter  .  .  .  .  .  .  .  .	37	3	25	28	0	9
Jay Brandon.  .  .  .  .  .  .  .  .  .  .	31	0	18	18	0	13
Dib Waldrip.  .  .  .  .  .  .  .  .  .  .	8	0	8	8	0	0
Total .  .  .  .  .  .  .  .  .  .	76	3	51	54	0	22
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	29	3	21	24	0	5
				0		
				0		
"State Senator, District 31"				0		
Vote for  1				0		
Victor Leal.  .  .  .  .  .  .  .  .  .  .	15	2	10	12	0	3
Mike Canon .  .  .  .  .  .  .  .  .  .  .	18	1	11	12	0	6
Kel Seliger.  .  .  .  .  .  .  .  .  .  .	53	3	36	39	0	14
Total .  .  .  .  .  .  .  .  .  .	86	6	57	63	0	23
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	19	0	15	15	0	4
				0		
				0		
"State Representative, District 88"				0		
Vote for  1				0		
Jason Huddleston .  .  .  .  .  .  .  .  .	25	3	17	20	0	5
Richard Beyea .  .  .  .  .  .  .  .  .  .	7	0	5	5	0	2
Ken King.  .  .  .  .  .  .  .  .  .  .  .	53	3	36	39	0	14
Total .  .  .  .  .  .  .  .  .  .	85	6	58	64	0	21
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	20	0	14	14	0	6
				0		
				0		
				0		
				0		
				0		
				0		
				0		
0006 PRECINCT 406				0		
TOTA	L VOTES	EV Plains	EV Den. City	#VALUE!	ED Plains	ED Den.City
				0		
United States Senator				0		
Vote for  1				0		
Sema Hernandez.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Beto O'Rourke .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Edward Kimbrough .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
"US Representative, District 19"				0		
Vote for  1				0		
Miguel Levario.  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Over Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Under Votes .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
				0		
				0		
Governor				0		
Vote for  1				0		
"Cedric Davis, Sr..  .  .  .  .  .  .  .  ."	0	0	0	0	0	0
Lupe Valdez.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Jeffrey Payne .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Andrew White  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Joe Mumbach.  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Grady Yarbrough  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Tom Wakely .  .  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
Adrian Ocegueda  .  .  .  .  .  .  .  .  .	0	0	0	0	0	0
