Bexar County,May 24 2022 - Democrats,Joint Primary Runoff,Total Provisionals:  24,Total Provisionals Counted:  14,,,,,,,,,
Ballots Cast - Total,,630,,203,,51,,376,,,,,
Ballots Cast - Democratic Party,,76,,21,,12,,43,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,23.42%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,31,,41.89%,,11,,5,,,15,,
Mike Collier,,43,,58.11%,,9,,7,,,27,,
Total Votes Cast,,74,,100.00%,,20,,12,,,42,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,1,,0,,,1,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,48,,65.75%,,15,,4,,,29,,
Joe Jaworski,,25,,34.25%,,6,,7,,,12,,
Total Votes Cast,,73,,100.00%,,21,,11,,,41,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,0,,1,,,2,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,29,,40.85%,,12,,5,,,12,,
Janet T. Dudding,,42,,59.15%,,8,,6,,,28,,
Total Votes Cast,,71,,100.00%,,20,,11,,,40,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,1,,1,,,3,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,28,,38.36%,,12,,3,,,13,,
Jay Kleberg,,45,,61.64%,,9,,9,,,27,,
Total Votes Cast,,73,,100.00%,,21,,12,,,40,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,0,,0,,,3,,
,,,,,,,,,,749,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3034,,,,,,,,,,,,,
,"DEM Member, State Board of Education, District 1 State Board of Education, District 1",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa N. Ortega,,53,,77.94%,,16,,7,,,30,,
Laura Marquez,,15,,22.06%,,3,,3,,,9,,
Total Votes Cast,,68,,100.00%,,19,,10,,,39,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,2,,2,,,4,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,27,,36.49%,,10,,3,,,14,,
Peter Sakai,,47,,63.51%,,10,,9,,,28,,
Total Votes Cast,,74,,100.00%,,20,,12,,,42,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,1,,0,,,1,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,43,,62.32%,,12,,6,,,25,,
Maria Teresa Garcia,,26,,37.68%,,7,,5,,,14,,
Total Votes Cast,,69,,100.00%,,19,,11,,,39,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,2,,1,,,4,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,33,,47.14%,,12,,5,,,16,,
"Christine ""Chris"" Castillo",,37,,52.86%,,7,,7,,,23,,
Total Votes Cast,,70,,100.00%,,19,,12,,,39,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,2,,0,,,4,,
,,,,,,,,,,750,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3035,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,816,,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,111,,36,,29,,46,,,,,
Ballots Cast - Democratic Party,,62,,21,,16,,25,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,13.60%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,29,,50.00%,,8,,7,,,14,,
Mike Collier,,29,,50.00%,,11,,8,,,10,,
Total Votes Cast,,58,,100.00%,,19,,15,,,24,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,2,,1,,,1,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,36,,61.02%,,11,,8,,,17,,
Joe Jaworski,,23,,38.98%,,8,,8,,,7,,
Total Votes Cast,,59,,100.00%,,19,,16,,,24,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,2,,0,,,1,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,17,,31.48%,,7,,2,,,8,,
Janet T. Dudding,,37,,68.52%,,9,,13,,,15,,
Total Votes Cast,,54,,100.00%,,16,,15,,,23,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,5,,1,,,2,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,21,,38.89%,,7,,3,,,11,,
Jay Kleberg,,33,,61.11%,,9,,12,,,12,,
Total Votes Cast,,54,,100.00%,,16,,15,,,23,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,5,,1,,,2,,
,,,,,,,,,,751,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3035,,,,,,,,,,,,,
,"DEM Member, State Board of Education, District 1 State Board of Education, District 1",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa N. Ortega,,36,,66.67%,,10,,9,,,17,,
Laura Marquez,,18,,33.33%,,7,,6,,,5,,
Total Votes Cast,,54,,100.00%,,17,,15,,,22,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,4,,1,,,3,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,22,,35.48%,,7,,4,,,11,,
Peter Sakai,,40,,64.52%,,14,,12,,,14,,
Total Votes Cast,,62,,100.00%,,21,,16,,,25,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,32,,60.38%,,11,,10,,,11,,
Maria Teresa Garcia,,21,,39.62%,,4,,5,,,12,,
Total Votes Cast,,53,,100.00%,,15,,15,,,23,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,9,,,,6,,1,,,2,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,33,,62.26%,,10,,9,,,14,,
"Christine ""Chris"" Castillo",,20,,37.74%,,6,,5,,,9,,
Total Votes Cast,,53,,100.00%,,16,,14,,,23,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,9,,,,5,,2,,,2,,
,,,,,,,,,,752,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3036,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"4,355",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,314,,138,,22,,154,,,,,
Ballots Cast - Democratic Party,,191,,75,,18,,98,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,7.21%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,98,,52.97%,,46,,4,,,48,,
Mike Collier,,87,,47.03%,,28,,14,,,45,,
Total Votes Cast,,185,,100.00%,,74,,18,,,93,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,1,,0,,,5,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,141,,77.05%,,58,,8,,,75,,
Joe Jaworski,,42,,22.95%,,14,,10,,,18,,
Total Votes Cast,,183,,100.00%,,72,,18,,,93,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,3,,0,,,5,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,73,,41.95%,,29,,6,,,38,,
Janet T. Dudding,,101,,58.05%,,39,,11,,,51,,
Total Votes Cast,,174,,100.00%,,68,,17,,,89,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,17,,,,7,,1,,,9,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,109,,60.56%,,48,,7,,,54,,
Jay Kleberg,,71,,39.44%,,23,,11,,,37,,
Total Votes Cast,,180,,100.00%,,71,,18,,,91,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,11,,,,4,,0,,,7,,
,,,,,,,,,,753,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3036,,,,,,,,,,,,,
,"DEM Member, State Board of Education, District 1 State Board of Education, District 1",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa N. Ortega,,111,,64.53%,,50,,12,,,49,,
Laura Marquez,,61,,35.47%,,19,,5,,,37,,
Total Votes Cast,,172,,100.00%,,69,,17,,,86,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,19,,,,6,,1,,,12,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,89,,47.59%,,41,,9,,,39,,
Peter Sakai,,98,,52.41%,,31,,9,,,58,,
Total Votes Cast,,187,,100.00%,,72,,18,,,97,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,3,,0,,,1,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,104,,60.82%,,42,,11,,,51,,
Maria Teresa Garcia,,67,,39.18%,,24,,6,,,37,,
Total Votes Cast,,171,,100.00%,,66,,17,,,88,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,20,,,,9,,1,,,10,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,103,,58.86%,,42,,6,,,55,,
"Christine ""Chris"" Castillo",,72,,41.14%,,26,,11,,,35,,
Total Votes Cast,,175,,100.00%,,68,,17,,,90,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,16,,,,7,,1,,,8,,
,,,,,,,,,,754,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3037,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,103,,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,7,,4,,1,,2,,,,,
Ballots Cast - Democratic Party,,2,,1,,1,,0,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,6.80%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,"DEM United States Representative, District 21 United States Representative, District 21",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Claudia Andreana Zapata,,0,,0.00%,,0,,0,,,0,,
Ricardo Villarreal,,2,,100.00%,,1,,1,,,0,,
Total Votes Cast,,2,,100.00%,,1,,1,,,0,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,0,,0.00%,,0,,0,,,0,,
Mike Collier,,2,,100.00%,,1,,1,,,0,,
Total Votes Cast,,2,,100.00%,,1,,1,,,0,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,1,,50.00%,,0,,1,,,0,,
Joe Jaworski,,1,,50.00%,,1,,0,,,0,,
Total Votes Cast,,2,,100.00%,,1,,1,,,0,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,1,,50.00%,,1,,0,,,0,,
Janet T. Dudding,,1,,50.00%,,0,,1,,,0,,
Total Votes Cast,,2,,100.00%,,1,,1,,,0,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,,,,,,,,,,755,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3037,,,,,,,,,,,,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,0,,0.00%,,0,,0,,,0,,
Jay Kleberg,,2,,100.00%,,1,,1,,,0,,
Total Votes Cast,,2,,100.00%,,1,,1,,,0,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,1,,50.00%,,0,,1,,,0,,
Peter Sakai,,1,,50.00%,,1,,0,,,0,,
Total Votes Cast,,2,,100.00%,,1,,1,,,0,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,2,,100.00%,,1,,1,,,0,,
Maria Teresa Garcia,,0,,0.00%,,0,,0,,,0,,
Total Votes Cast,,2,,100.00%,,1,,1,,,0,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,2,,100.00%,,1,,1,,,0,,
"Christine ""Chris"" Castillo",,0,,0.00%,,0,,0,,,0,,
Total Votes Cast,,2,,100.00%,,1,,1,,,0,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,,,,,,,,,,756,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3038,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"1,209",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,199,,78,,20,,101,,,,,
Ballots Cast - Democratic Party,,109,,35,,13,,61,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,16.46%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,"DEM United States Representative, District 21 United States Representative, District 21",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Claudia Andreana Zapata,,60,,57.69%,,19,,4,,,37,,
Ricardo Villarreal,,44,,42.31%,,12,,8,,,24,,
Total Votes Cast,,104,,100.00%,,31,,12,,,61,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,4,,1,,,0,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,50,,48.08%,,21,,2,,,27,,
Mike Collier,,54,,51.92%,,11,,10,,,33,,
Total Votes Cast,,104,,100.00%,,32,,12,,,60,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,3,,1,,,1,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,73,,68.22%,,27,,8,,,38,,
Joe Jaworski,,34,,31.78%,,7,,5,,,22,,
Total Votes Cast,,107,,100.00%,,34,,13,,,60,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,2,,,,1,,0,,,1,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,43,,41.35%,,22,,2,,,19,,
Janet T. Dudding,,61,,58.65%,,11,,10,,,40,,
Total Votes Cast,,104,,100.00%,,33,,12,,,59,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,2,,1,,,2,,
,,,,,,,,,,757,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3038,,,,,,,,,,,,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,52,,50.49%,,21,,1,,,30,,
Jay Kleberg,,51,,49.51%,,12,,11,,,28,,
Total Votes Cast,,103,,100.00%,,33,,12,,,58,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,2,,1,,,3,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,37,,34.26%,,15,,4,,,18,,
Peter Sakai,,71,,65.74%,,20,,8,,,43,,
Total Votes Cast,,108,,100.00%,,35,,12,,,61,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,0,,1,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,57,,56.44%,,20,,6,,,31,,
Maria Teresa Garcia,,44,,43.56%,,14,,3,,,27,,
Total Votes Cast,,101,,100.00%,,34,,9,,,58,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,8,,,,1,,4,,,3,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,39,,37.86%,,14,,3,,,22,,
"Christine ""Chris"" Castillo",,64,,62.14%,,19,,7,,,38,,
Total Votes Cast,,103,,100.00%,,33,,10,,,60,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,2,,3,,,1,,
,,,,,,,,,,758,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3039,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"4,523",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,335,,176,,58,,101,,,,,
Ballots Cast - Democratic Party,,104,,47,,20,,37,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,7.41%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,58,,55.77%,,34,,7,,,17,,
Mike Collier,,46,,44.23%,,13,,13,,,20,,
Total Votes Cast,,104,,100.00%,,47,,20,,,37,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,79,,75.96%,,39,,17,,,23,,
Joe Jaworski,,25,,24.04%,,8,,3,,,14,,
Total Votes Cast,,104,,100.00%,,47,,20,,,37,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,DEM Comptroller of Public Accounts,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Angel Luis Vega,,39,,39.00%,,13,,3,,,23,,
Janet T. Dudding,,61,,61.00%,,30,,17,,,14,,
Total Votes Cast,,100,,100.00%,,43,,20,,,37,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,4,,0,,,0,,
,DEM Commissioner of the General Land Office,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Sandragrace Martinez,,69,,66.35%,,35,,12,,,22,,
Jay Kleberg,,35,,33.65%,,12,,8,,,15,,
Total Votes Cast,,104,,100.00%,,47,,20,,,37,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,0,,,,0,,0,,,0,,
,,,,,,,,,,759,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3039,,,,,,,,,,,,,
,DEM County Judge County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Ina Minjarez,,61,,59.22%,,36,,12,,,13,,
Peter Sakai,,42,,40.78%,,11,,7,,,24,,
Total Votes Cast,,103,,100.00%,,47,,19,,,37,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,1,,,,0,,1,,,0,,
,"DEM Judge, County Court at Law No. 2 County Races",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Melissa Saenz,,62,,63.92%,,27,,16,,,19,,
Maria Teresa Garcia,,35,,36.08%,,17,,3,,,15,,
Total Votes Cast,,97,,100.00%,,44,,19,,,34,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,7,,,,3,,1,,,3,,
,DEM District Clerk County Races,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Gloria A. Martinez,,50,,51.02%,,23,,10,,,17,,
"Christine ""Chris"" Castillo",,48,,48.98%,,21,,9,,,18,,
Total Votes Cast,,98,,100.00%,,44,,19,,,35,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,6,,,,3,,1,,,2,,
,,,,,,,,,,760,,," of 1,587"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
3040,,,,,,,,,,,,,
Statistics,,TOTAL,,Election Day,,Absentee,,Early Voting,,,,,
Registered Voters - Total,,"2,146",,,,,,,,,,,
Registered Voters - Democratic Party,,0,,,,,,,,,,,
Ballots Cast - Total,,275,,95,,57,,123,,,,,
Ballots Cast - Democratic Party,,125,,34,,27,,64,,,,,
Ballots Cast - Blank,,0,,0,,0,,0,,,,,
Voter Turnout - Total,,12.81%,,,,,,,,,,,
Voter Turnout - Democratic Party,,0.00%,,,,,,,,,,,
,"DEM United States Representative, District 21 United States Representative, District 21",,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Claudia Andreana Zapata,,80,,65.57%,,22,,11,,,47,,
Ricardo Villarreal,,42,,34.43%,,10,,16,,,16,,
Total Votes Cast,,122,,100.00%,,32,,27,,,63,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,3,,,,2,,0,,,1,,
,DEM Lieutenant Governor,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Michelle Beckley,,51,,42.50%,,12,,7,,,32,,
Mike Collier,,69,,57.50%,,19,,20,,,30,,
Total Votes Cast,,120,,100.00%,,31,,27,,,62,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,5,,,,3,,0,,,2,,
,DEM Attorney General,,,,,,,,,,,,
,Vote For 1,,,,,,,,,,,,
,,,TOTAL,,VOTE %,,Election Day,,Absentee,,,Early Voting,
Rochelle Mercedes Garza,,84,,69.42%,,21,,17,,,46,,
Joe Jaworski,,37,,30.58%,,11,,10,,,16,,
Total Votes Cast,,121,,100.00%,,32,,27,,,62,,
Overvotes,,0,,,,0,,0,,,0,,
Undervotes,,4,,,,2,,0,,,2,,
